config,role,group,detector,macro_AP_delta_no_adapt,clean_AP_delta_no_adapt,macro_AP50_delta_no_adapt,clean_AP50_delta_no_adapt,macro_AP75_delta_no_adapt,clean_AP75_delta_no_adapt,positive_conditions_no_adapt,macro_AP_delta_full_hybrid,clean_AP_delta_full_hybrid,macro_AP50_delta_full_hybrid,clean_AP50_delta_full_hybrid,macro_AP75_delta_full_hybrid,clean_AP75_delta_full_hybrid,positive_conditions_full_hybrid
random_2026091729,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091729,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091729,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091729,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091729,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091729,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091729,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091730,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091730,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091730,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091730,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091730,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091730,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091730,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091730,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091730,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091731,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091731,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091731,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091731,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091731,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091731,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091731,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091731,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091731,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091732,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091732,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091732,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091732,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091732,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091732,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091732,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091732,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091732,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091733,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091733,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091733,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091733,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091733,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091733,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091733,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091733,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091733,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091734,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091734,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091734,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091734,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091734,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091734,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091734,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091734,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091734,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091735,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091735,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091735,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091735,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091735,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091735,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091735,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091735,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091735,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091736,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091736,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091736,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091736,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091736,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091736,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091736,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091736,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091736,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091737,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091737,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091737,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091737,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091737,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091737,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091737,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091737,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091737,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091738,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091738,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091738,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091738,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091738,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091738,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
random_2026091738,random,block_2,source,-0.1815181518151817,-1.6831683168316847,0.0,0.0,0.9350935093509349,0.0,0,-0.004125412541254647,0.0,3.4653465346534653,0.0,-2.722772277227724,0.0,1
random_2026091738,random,block_2,target,3.7499999999999987,-0.8168316831683176,0.0,0.0,4.166666666666663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
random_2026091738,random,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,4.191561397519061,0.0,4.166666666666667,0.0,8.292079207920791,0.0,2
random_2026091739,random,aggregate,source,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1
random_2026091739,random,aggregate,target,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1
random_2026091739,random,aggregate,ssd,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3
random_2026091739,random,block_1,source,-0.7486414054939335,1.4552080208020817,-0.38090275192932815,4.2654265426542635,-2.084656773948072,0.4400440044004389,0,-0.2551371208549422,0.0,-0.18809916705956423,0.0,-0.46754675467546747,0.0,0
random_2026091739,random,block_1,target,-0.11489044194895164,0.1396961558504023,0.30207483159306553,0.03407223313425245,-0.284322716270616,0.0,3,0.018197810599451802,0.0,-0.1191936627873318,0.0,0.060497258517060636,0.0,1
random_2026091739,random,block_1,ssd,-0.17535964877896484,-0.329951109254846,-1.1713209220157283,-1.3573938038965172,-0.0019980630541686743,0.0,1,0.01107800982110939,0.0,-0.1105039947167874,0.0,-0.04524646012988395,0.0,1
